T,TM,Tm,SLP,H,VV,V,VM,PM_2.5
29.5,35.7,24.6,-,72,5.8,11.7,16.5,38.416666666666664
,,,,,,,,29.166666666666668
,,,,,,,,37.375
,,,,,,,,60.0
28.6,37,24.2,-,82,5,10.9,22.2,49.291666666666664
29.6,33.1,24.6,-,75,5.6,10.2,16.5,19.541666666666668
29.8,36,25.9,-,77,5,9.4,25.9,22.833333333333332
30.9,36,25.2,-,70,6.3,12,16.5,24.291666666666668
,,,,,,,,25.291666666666668
,,,,,,,,23.416666666666668
,,,,,,,,47.041666666666664
31.7,37,25.9,-,60,6.4,14.8,24.1,74.66666666666667
31.7,37.9,26.5,-,61,6.9,12.8,22.2,41.875
31.3,36,27,-,61,5.8,12.6,20.6,50.583333333333336
,,,,,,,,44.416666666666664
,,,,,,,,66.45833333333333
,,,,,,,,62.916666666666664
29.8,37,24,-,66,5.3,14.6,77.8,58.125
30.1,37.2,23.2,-,71,5.6,14.6,24.1,57.291666666666664
30.5,36,25.3,-,66,6.3,13.5,20.6,38.25
,,,,,,,,57.208333333333336
,,,,,,,,50.333333333333336
,,,,,,,,50.416666666666664
26.8,33.3,21,-,82,4.7,11.5,16.5,47.416666666666664
29.3,32.2,24.3,1004.2,70,5.6,13.1,22.2,56.916666666666664
30,34.1,25.8,-,70,5.6,12.8,27.8,54.625
,,,,,,,,42.875
,,,,,,,,41.208333333333336
,,,,,,,,42.375
29.7,33,25.4,-,74,6,9.4,16.5,45.958333333333336
30,33.6,25.2,-,73,5.5,11.9,22.2,52.25
30.1,33.9,25.7,-,67,6.1,11.7,20.6,43.333333333333336
,,,,,,,,41.875
,,,,,,,,44.416666666666664
,,,,,,,,49.5
30.1,34.5,24.1,-,73,5.8,10.4,18.3,41.958333333333336
29.8,33.2,25.3,-,75,6.1,9.1,22.2,0.0
29.2,33.6,25,-,79,5.6,8.1,18.3,0.0
,,,,,,,,0.0
,,,,,,,,0.0
,,,,,,,,0.0
28.9,33,24.4,-,80,4.8,6.9,18.3,45.75
28.4,33,25.3,-,80,4.7,8.5,16.5,70.70833333333333
28.8,34,24.9,-,71,4,9.4,18.3,51.791666666666664
,,,,,,,,66.75
,,,,,,,,39.958333333333336
,,,,,,,,0.0
30.3,36.4,26.2,-,73,5.1,15.2,22.2,0.0
30.5,34,26,-,66,5,12.6,22.2,11.583333333333334
29.8,34.7,25.7,-,72,4.8,8.5,13,13.0
,,,,,,,,7.875
,,,,,,,,33.541666666666664
,,,,,,,,151.04166666666666
26.7,30.9,23.4,-,89,3.4,5.7,18.3,156.25
28.4,32,22.1,-,76,4.2,9.6,22.2,156.0
27.9,32.3,24.6,-,81,4,7.8,16.5,151.79166666666666
,,,,,,,,181.54166666666666
,,,,,,,,219.95833333333334
,,,,,,,,231.0
28.8,32.2,24.2,-,75,4.8,10.7,22.2,252.625
28.8,32.1,24.4,-,69,5.3,10.2,24.1,119.41666666666667
28.7,33,24,-,66,5.3,10.9,24.1,126.0
,,,,,,,,172.66666666666666
,,,,,,,,207.04166666666666
,,,,,,,,230.25
26.7,30.2,24.3,-,88,4,8.5,22.2,232.33333333333334
26.1,29,23.6,-,91,4.5,7,14.8,215.54166666666666
28.2,32,23.9,-,84,6.1,8.1,18.3,239.41666666666666
28.4,32,25.2,-,84,5.1,9.8,24.1,196.54166666666666
,,,,,,,,206.75
,,,,,,,,235.58333333333334
,,,,,,,,199.875
27.4,31.4,23.3,-,78,5.1,5.6,14.8,232.54166666666666
27.7,32,22.9,-,77,5.6,9.4,22.2,185.5
27.8,31.1,23.9,-,76,4.3,7.8,18.3,282.1666666666667
,,,,,,,,226.45833333333334
,,,,,,,,222.125
,,,,,,,,317.0
27.2,32,21.4,-,70,3.7,10,22.2,257.6666666666667
28.6,33,21.5,-,70,5,9.4,22.2,166.875
28.4,33,24.2,-,85,4.7,14.4,24.1,135.16666666666666
,,,,,,,,133.125
-,-,-,-,-,-,-,-,175.04166666666666
-,-,-,-,-,-,-,-,189.66666666666666
-,-,-,-,-,-,-,-,211.45833333333334
-,-,-,-,-,-,-,-,215.5
-,-,-,-,-,-,-,-,223.375
,,,,,,,,187.54166666666666
,,,,,,,,198.45833333333334
27.7,31,23.5,-,80,3.5,8.1,22.2,156.70833333333334
26.8,31,23,-,76,3.7,7,20.6,135.58333333333334
26.1,31,21.5,-,70,4.5,8.9,20.6,152.04166666666666
,,,,,,,,141.41666666666666
,,,,,,,,248.625
,,,,,,,,162.54166666666666
27,31,22.6,-,73,5.1,9.3,22.2,0.0
26.9,31.1,21.5,-,68,5.6,8.5,18.3,46.708333333333336
26.8,31.2,22.7,-,76,6.6,9.4,24.1,91.75
26.6,31,23.3,-,83,4.3,11.3,22.2,99.91666666666667
,,,,,,,,113.375
,,,,,,,,166.70833333333334
,,,,,,,,146.66666666666666
27,31.1,23.4,-,81,3.2,7.6,14.8,119.70833333333333
27.2,31.1,24,-,77,3.5,8.7,14.8,110.875
26.5,30.6,23,-,77,3.4,7.6,18.3,200.33333333333334
,,,,,,,,161.79166666666666
,,,,,,,,169.04166666666666
,,,,,,,,216.79166666666666
26.9,31.3,22.9,-,78,4.3,6.5,13,203.58333333333334
27.9,31,23.2,-,76,4.5,15.2,25.9,25.083333333333332
27.8,31.1,25.7,-,72,4.3,19.6,33.5,57.083333333333336
,,,,,,,,152.83333333333334
,,,,,,,,177.70833333333334
,,,,,,,,239.04166666666666
25.1,29.2,20.7,-,72,5.5,10.9,22.2,349.2916666666667
26.7,30,21,-,77,5.5,10.6,16.5,188.04166666666666
27.2,30.1,23.5,-,80,4.2,13.5,22.2,310.25
,,,,,,,,375.7916666666667
,,,,,,,,297.7916666666667
,,,,,,,,441.7916666666667
25.9,30,23,-,81,3.7,8.5,81.3,204.375
25.9,30.4,21.4,-,78,4,6.3,14.8,223.25
26.5,30.2,21,-,77,4.2,8.3,18.3,248.95833333333334
,,,,,,,,441.4166666666667
,,,,,,,,237.79166666666666
,,,,,,,,334.875
24.5,28.4,20,-,68,4.7,10,22.2,-
